archivo,caracteres,lineas_no_vacias,notacion_detectada,hits_evidencia_en,hits_evidencia_solfa,lineas_acorde_detectadas,tiene_acordes,tiene_caracter_reemplazo,tiene_tabs,titulo_sospechoso,muy_corta
115_🇺🇸 HOTEL CALIFORNIA.txt,2450,70,ninguna,0,0,0,False,False,False,False,False
116_🇯🇲 COULD YOU BE LOVED.txt,2096,93,ninguna,0,0,0,False,False,False,False,False
117_🇵🇪 CAROL QUIERE UN VIAJE A LONDRES.txt,1555,39,ninguna,0,0,0,False,False,False,False,False
118_🇬🇧 HIGHWAY STAR.txt,2091,72,ninguna,0,0,0,False,False,False,False,False
119_🇲🇽 CLAVADO EN UN BAR.txt,4920,177,ninguna,0,0,0,False,False,False,False,False
120_🇺🇸 BASKET CASE.txt,2169,66,ninguna,0,0,0,False,False,False,False,False
121_🇦🇷 MIX GIT.txt,6730,237,ninguna,0,0,0,False,True,False,False,False
122_🇵🇪 CARIÑITO.txt,818,32,ninguna,0,0,0,False,False,True,False,False
123_🇲🇽 AHORA TE PUEDES MARCHAR.txt,2398,81,ninguna,0,0,0,False,True,True,False,False
124_🇬🇧 TWIST AND SHOUT.txt,3202,69,ninguna,0,0,0,False,False,True,False,False
125_🇬🇧 SHOW ME THE WAY.txt,2145,93,ninguna,0,0,0,False,False,True,False,False
126_🇬🇧 LAST TRAIN TO LONDON.txt,1669,48,ninguna,0,0,0,False,False,False,False,False
127_🇦🇷 TARADO DE CUMPLEAÑOS.txt,1923,71,ninguna,0,0,0,False,True,False,False,False
128_🇦🇷 LOCO.txt,1574,67,ninguna,0,0,0,False,False,False,False,False
129_🇬🇧 SMOKE ON THE WATER.txt,2284,70,ninguna,0,0,0,False,False,True,False,False
130_🇨🇱 POR QUÉ NO SE VAN.txt,1256,64,ninguna,0,0,0,False,False,False,False,False
131_🇺🇸 DANCING IN THE DARK.txt,1720,54,ninguna,0,0,0,False,False,False,False,False
132_🇲🇽 BLACK MAGIC WOMAN.txt,1056,29,ninguna,0,0,0,False,False,False,False,False
133_🇦🇷 LA CALLE ES SU LUGAR.txt,2006,55,ninguna,0,0,0,False,True,False,False,False
134_🇺🇸 MY SHARONA.txt,1664,55,ninguna,0,0,0,False,False,False,False,False
135_🇵🇪ELSA.txt,1901,50,ninguna,0,0,0,False,False,False,False,False
136_🇦🇺 WE CAN IT BE NOW-.txt,1098,37,ninguna,0,0,0,False,False,False,False,False
137_🇬🇧 (OH) PRETTY WOMAN.txt,1589,65,ninguna,0,0,0,False,False,False,False,False
138_🇦🇷 LUNA DE MIEL.txt,1581,58,ninguna,0,0,0,False,False,True,False,False
"139_🇦🇷 MANUEL SANTILLAN, EL LEÓN.txt",1842,67,ninguna,0,0,0,False,False,False,False,False
140_🇵🇪 QUÉDATE.txt,3056,87,ninguna,0,0,0,False,False,True,False,False
141_🇺🇸WE CAN BE KNOW.txt,1133,10,ninguna,0,0,0,False,False,False,False,False
142_🎄🇬🇧 X-MAS.txt,2208,91,ninguna,0,0,0,False,False,False,False,False
143_🎄🇵🇷 FELIZ NAVIDAD.txt,2721,100,ninguna,0,0,0,False,False,False,False,False
144_🎄🇺🇸 JINGLE BELLS ROCK.txt,2086,97,ninguna,0,0,0,False,False,False,False,False
145_🇺🇸 DOWN UNDER.txt,1433,14,ninguna,0,0,0,False,False,False,False,False
146_🇨🇱 SENTIMIENTO ORIGINAL.txt,1853,70,ninguna,0,0,0,False,True,False,False,False
147_🇦🇷 MI ENFERMEDAD.txt,1169,27,ninguna,0,0,0,False,False,False,False,False
148_🇺🇾 MIX NUEVA OLA.txt,2477,59,ninguna,0,0,0,False,False,True,False,False
149_🇵🇪 CARRETERAS MOJADAS.txt,3338,83,ninguna,0,0,0,False,True,True,False,False
150_🇺🇸SCAR TISSUE.txt,1677,50,ninguna,0,0,0,False,False,True,False,False
151_🇪🇸 LA FLACA.txt,2410,97,ninguna,0,0,0,False,False,True,False,False
152_🇵🇪 MAGDALENA.txt,1011,24,ninguna,0,0,0,False,False,False,False,False
153_🇮🇹 LAURA NO ESTÁ.txt,3023,58,ninguna,0,0,0,False,False,False,False,False
154_🇬🇧 COME TOGETHER.txt,1169,55,ninguna,0,0,0,False,False,False,False,False
155_🇺🇸 BY THE WAY.txt,1662,19,ninguna,0,0,0,False,False,False,False,False
156_🇺🇸CANT STOP.txt,2675,71,ninguna,0,0,0,False,False,False,False,False
157_🇪🇸 COMO UN BURRO AMARRADO.txt,1517,47,ninguna,0,0,0,False,False,False,False,False
158_🇬🇧 (I CAN’T GET NO) SATISFACTION.txt,1727,66,ninguna,0,0,0,False,False,True,False,False
159_🇬🇧 ROXANE.txt,1532,54,ninguna,0,0,0,False,False,False,False,False
160_🇬🇧 HEY JUDE.txt,2436,91,ninguna,0,0,0,False,False,False,False,False
161_🇨🇴 MI PRIMER MILLON.txt,4089,136,ninguna,0,0,0,False,False,False,False,False
162_🇺🇸SANTERIA.txt,2184,70,ninguna,0,0,0,False,False,False,False,False
163_🇵🇪 UN VINO UNA CERVEZA.txt,3952,132,ninguna,0,0,0,False,False,False,False,False
164_🇵🇪 ME ESTOY ENAMORANDO.txt,1959,51,ninguna,0,0,0,False,False,True,False,False
165_🇬🇧 SHOULD I SATY OR SHOULD I GO.txt,2876,83,ninguna,0,0,0,False,False,True,False,False
166_🇦🇷 CUANDO SEAS GRANDE.txt,2490,105,ninguna,0,0,0,False,False,False,False,False
167_🇲🇽 OYE MI AMOR.txt,1747,71,ninguna,0,0,0,False,True,True,False,False
168_🇲🇽  RAYANDO EL SOL.txt,2755,61,ninguna,0,0,0,False,False,False,False,False
169_🇺🇸 MANEATER.txt,2816,95,ninguna,0,0,0,False,True,True,False,False
170_🇵🇪 MIX MAR E COPAS.txt,2008,67,ninguna,0,0,0,False,False,True,False,False
171_🇬🇧 CREEP.txt,1866,12,ninguna,0,0,0,False,False,True,False,False
172_🇪🇸 EN ALGÚN LUGAR.txt,2455,75,ninguna,0,0,0,False,False,False,False,False
173_🇵🇪 LA CHATA.txt,1188,52,ninguna,0,0,0,False,False,False,False,False
